id;user_id;order_date;ship_price;status;shipper_name;shipper_phone
1;25734;2022-08-20;19508;Small efficient copying;lime;Minnesota
2;60534;2022-08-21;12937;Small;Wooden;brand sexy
3;26565;2022-08-21;29392;input;bricks-and-clicks mission-critical;payment access lime
4;58819;2022-08-20;39387;Customer Michigan primary;collaborative Inverse deposit;synergistic
5;24774;2022-08-21;34623;National Borders;payment Squares;Checking e-commerce Kentucky
6;90962;2022-08-21;66206;Functionality Assistant;line;circuit
7;83167;2022-08-21;16254;Fantastic Electronics;Row capacity Loan;Grenada protocol
8;45379;2022-08-20;30013;Berkshire;compress Keyboard compress;Alaska reboot
9;85607;2022-08-21;99691;withdrawal Granite Spurs;HDD Product;Mount navigating Credit
10;9104;2022-08-21;18044;Movies;Berkshire Pre-emptive;compress
